Title;Brand;Kategorie;ml;Preis;Preis pro 100 ml
My;Burberry;Eau de Parfum;30;44.9;149.66666666666666
Especially;Escada;Eau de Parfum;30;34.9;116.33333333333333
Your Day Femme;Blue Up;Eau de Parfum;100;9.9;9.9
Elisa Fleur Femme;Blue Up;Eau de Parfum;100;9.9;9.9
Agua del Sol;Escada;Eau de Toilette;30;24.9;83.0
Narotic Pure Femme;Blue Up;Eau de Parfum;100;9.9;9.9
Pour Femme;Dolce & Gabbana;Eau de Parfum;50;59.9;119.8
Manifesto;Yves Saint Laurent;Eau de Parfum;50;69.9;139.8
Jour pour Femme;Hugo Boss;Eau de Parfum;50;49.9;99.8
Happy Femme;Clinique;Eau de Parfum;30;34.9;116.33333333333333
Flowergirl Femme;Blue Up;Eau de Parfum;100;9.9;9.9
PremiÃ¨re;Gucci;Eau de Parfum;50;59.9;119.8
Sun Femme;Jil Sander;Eau de Toilette;75;25.9;34.53333333333333
Madame  Femme;GrÃ¨s;Eau de Parfum;100;19.9;19.9
CaÅ¡mir;Chopard;Eau de Parfum;100;39.9;39.9
Body Femme;Burberry;Eau de Parfum;35;34.9;99.71428571428571
ck one;Calvin Klein;Eau de Toilette;200;34.9;17.45
HypnÃ´se;LancÃ´me;Eau de Parfum;30;44.9;149.66666666666666
Le Bain;JOOP!;Eau de Parfum;75;39.9;53.2
Code;Giorgio Armani;Eau de Parfum;50;64.9;129.8
Love Story;ChloÃ©;Eau de Parfum;30;49.9;166.33333333333334
Candy Femme;Prada;Eau de Parfum;30;44.9;149.66666666666666
Eau Pure;Biotherm;Bodyspray;100;37.9;37.9
Eau d'Ã‰nergie;Biotherm;Bodyspray;100;37.9;37.9
Rich Woman;Blue Up;Eau de Parfum;100;9.9;9.9
Loverdose;Diesel;Eau de Parfum;30;39.9;132.99999999999997
White Collection;Musk;Eau de Toilette;50;19.9;39.8
Beauty;Calvin Klein;Eau de Parfum;50;42.9;85.8
Pure Woman;Bruno Banani;Eau de Toilette;40;24.9;62.24999999999999
Narotic;Blue Up;Eau de Parfum;100;9.9;9.9
Guilty;Gucci;Eau de Toilette;30;49.9;166.33333333333334
Vanderbilt Femme;Gloria Vanderbilt;Eau de Toilette;100;12.9;12.9
Miracle;LancÃ´me;Eau de Parfum;30;39.9;132.99999999999997
For Her;Narciso Rodriguez;Eau de Toilette;50;69.9;139.8
Demonic;Blue Up;Eau de Parfum;100;9.9;9.9
J'adore in Joy;Dior;Eau de Toilette;50;69.9;139.8
La vie est belle Femme;LancÃ´me;Eau de Parfum;100;99.9;99.9
XX;Hugo Boss;Eau de Toilette;100;39.9;39.9
Signature Femme;Roberto Cavalli;Eau de Parfum;75;39.9;53.2
Nuit pour Femme Intense;Hugo Boss;Eau de Parfum;30;29.9;99.66666666666666
La vie est belle Intense Femme;LancÃ´me;Eau de Parfum;50;69.9;139.8
Candy;Prada;Eau de Parfum;50;49.9;99.8
Giorgio Beverly Hills Yellow Femme;Giorgio Armani;Eau de Toilette;90;24.9;27.666666666666668
Nuit Pour Femme;Hugo Boss;Eau de Parfum;30;29.9;99.66666666666666
For Her;Narciso Rodriguez;Eau de Parfum;50;59.9;119.8
Eternity Women;Calvin Klein;Eau de Parfum;100;34.9;34.9
Love Addict;Victoria's Secret;Bodyspray;250;13.9;5.5600000000000005
La Nuit TrÃ©sor;LancÃ´me;Eau de Parfum;30;49.9;166.33333333333334
Dare;Guess;Eau de Toilette;100;29.9;29.9
Fleur Splendide Femme;Cabotine;Eau de Toilette;100;14.9;14.899999999999999
La Petite Robe Noire;Guerlain;Eau de Toilette;30;39.9;132.99999999999997
Yellow Diamond;Versace;Eau de Toilette;50;49.9;99.8
Infusion d'Iris;Prada;Eau de Parfum;100;69.9;69.9
Sexy Femme;Rainbow;Eau de Toilette;50;5.9;11.8
Parisene for Women;Rainbow;Eau de Toilette;50;5.9;11.8
